"0","0"
"1","0"
"2","0"
"3","0"
"4","0"
"5","0"
"6","0"
"7","0"
"8","0"
"9","0"
"10","0"
"11","312"
"12","176"
"13","49"
"14","604"
"15","767"
"16","1589"
"17","1809"
"18","978"
"19","1634"
"20","1747"
"21","3568"
"22","7615"
"23","7344"
"24","7647"
"25","7861"
"26","806"
"27","0"
"28","6573"
"29","8083"
"30","1182"
"31","0"
"32","5877"
"33","6776"
"34","1441"
"35","0"
"36","5478"
"37","6146"
"38","6090"
"39","2144"
"40","0"
"41","4852"
"42","5957"
"43","7392"
"44","3100"
"45","0"
"46","0"
"47","5013"
"48","7714"
"49","7176"
"50","3162"
"51","0"
"52","0"
"53","3666"
"54","6404"
"55","7437"
"56","3471"
"57","0"
"58","0"
"59","3436"
"60","7652"
"61","7588"
"62","4447"
"63","0"
"64","0"
"65","2330"
"66","6553"
"67","5632"
"68","7580"
"69","4919"
"70","0"
"71","0"
"72","2431"
"73","8196"
"74","5527"
"75","0"
"76","2053"
"77","5230"
"78","5753"
"79","4570"
"80","1699"
"81","7121"
"82","5280"
"83","0"
"84","0"
"85","1210"
"86","7281"
"87","7243"
"88","5538"
"89","0"
"90","0"
"91","0"
"92","7292"
"93","7461"
"94","7629"
"95","0"
"96","0"
"97","7938"
"98","7683"
"99","428"
"100","0"
"101","6428"
"102","6762"
"103","904"
"104","0"
"105","7032"
"106","7866"
"107","7971"
"108","1624"
"109","0"
"110","0"
"111","2532"
"112","3956"
"113","6257"
"114","4618"
"115","1793"
"116","4498"
"117","7426"
"118","2693"
"119","0"
"120","4349"
"121","7338"
"122","2946"
"123","0"
"124","4252"
"125","7373"
"126","3659"
"127","0"
"128","3876"
"129","7723"
"130","3669"
"131","0"
"132","3057"
"133","5504"
"134","3897"
"135","0"
"136","0"
"137","0"
"138","0"
"139","995"
"140","2491"
"141","936"
"142","571"
"143","773"
"144","752"
"145","834"
"146","6374"
"147","0"
"148","676"
"149","6847"
"150","7042"
"151","0"
"152","902"
"153","7850"
"154","7102"
"155","0"
"156","0"
"157","6750"
"158","1590"
"159","13"
